Listening for IR pulses with DMA precision...
Press Ctrl+C to stop and print results.

Stopping measurement...

--- Results (853 samples) ---
[29837, 1]
[459, 1]
[378, 0]
[458, 1]
[358, 0]
[480, 1]
[379, 0]
[457, 1]
[358, 0]
[482, 1]
[383, 0]
[457, 1]
[1214, 0]
[459, 1]
[1215, 0]
[460, 1]
[1216, 0]
[459, 1]
[1217, 0]
[460, 1]
[1214, 0]
[459, 1]
[1218, 0]
[458, 1]
[1195, 0]
[480, 1]
[1219, 0]
[486, 1]
[1163, 0]
[484, 1]
[1214, 0]
[488, 1]
[351, 0]
[459, 1]
[354, 0]
[483, 1]
[357, 0]
[509, 1]
[1189, 0]
[459, 1]
[354, 0]
[483, 1]
[382, 0]
[460, 1]
[374, 0]
[486, 1]
[352, 0]
[460, 1]
[1216, 0]
[459, 1]
[1215, 0]
[460, 1]
[1216, 0]
[459, 1]
[356, 0]
[482, 1]
[1215, 0]
[460, 1]
[1219, 0]
[486, 1]
[349, 0]
[487, 1]
[350, 0]
[486, 1]
[352, 0]
[486, 1]
[352, 0]
[459, 1]
[1216, 0]
[459, 1]
[1216, 0]
[460, 1]
[1193, 0]
[508, 1]
[1193, 0]
[487, 1]
[1184, 0]
[460, 1]
[1215, 0]
[487, 1]
[1168, 0]
[482, 1]
[1191, 0]
[511, 1]
[351, 0]
[487, 1]
[350, 0]
[485, 1]
[352, 0]
[487, 1]
[334, 0]
[480, 1]
[374, 0]
[460, 1]
[354, 0]
[510, 1]
[352, 0]
[485, 1]
[353, 0]
[459, 1]
[377, 0]
[460, 1]
[379, 0]
[459, 1]
[378, 0]
[485, 1]
[357, 0]
[460, 1]
[1210, 0]
[461, 1]
[1215, 0]
[486, 1]
[1167, 0]
[483, 1]
[1195, 0]
[480, 1]
[1215, 0]
[460, 1]
[1214, 0]
[461, 1]
[1216, 0]
[486, 1]
[1193, 0]
[458, 1]
[354, 0]
[482, 1]
[378, 0]
[459, 1]
[356, 0]
[480, 1]
[380, 0]
[458, 1]
[379, 0]
[459, 1]
[378, 0]
[459, 1]
[358, 0]
[480, 1]
[382, 0]
[459, 1]
[1190, 0]
[482, 1]
[1195, 0]
[480, 1]
[1217, 0]
[485, 1]
[1189, 0]
[488, 1]
[1189, 0]
[458, 1]
[1194, 0]
[483, 1]
[1215, 0]
[460, 1]
[1218, 0]
[486, 1]
[328, 0]
[479, 1]
[380, 0]
[459, 1]
[379, 0]
[456, 1]
[381, 0]
[458, 1]
[380, 0]
[458, 1]
[380, 0]
[460, 1]
[355, 0]
[480, 1]
[1223, 0]
[458, 1]
[1211, 0]
[459, 1]
[1216, 0]
[460, 1]
[1215, 0]
[461, 1]
[1215, 0]
[460, 1]
[1193, 0]
[510, 1]
[1188, 0]
[486, 1]
[1188, 0]
[486, 1]
[356, 0]
[460, 1]
[1212, 0]
[460, 1]
[1216, 0]
[459, 1]
[378, 0]
[460, 1]
[378, 0]
[486, 1]
[353, 0]
[460, 1]
[376, 0]
[459, 1]
[378, 0]
[462, 1]
[380, 0]
[459, 1]
[376, 0]
[460, 1]
[377, 0]
[485, 1]
[1191, 0]
[459, 1]
[1216, 0]
[459, 1]
[1192, 0]
[483, 1]
[1215, 0]
[461, 1]
[1215, 0]
[460, 1]
[1220, 0]
[459, 1]
[1212, 0]
[460, 1]
[377, 0]
[486, 1]
[329, 0]
[483, 1]
[377, 0]
[460, 1]
[378, 0]
[460, 1]
[378, 0]
[460, 1]
[378, 0]
[488, 1]
[329, 0]
[483, 1]
[375, 0]
[460, 1]
[1215, 0]
[459, 1]
[1218, 0]
[459, 1]
[1214, 0]
[460, 1]
[1216, 0]
[461, 1]
[1214, 0]
[459, 1]
[1216, 0]
[460, 1]
[1219, 0]
[459, 1]
[375, 0]
[462, 1]
[376, 0]
[486, 1]
[352, 0]
[486, 1]
[1189, 0]
[460, 1]
[378, 0]
[487, 1]
[327, 0]
[484, 1]
[377, 0]
[486, 1]
[1193, 0]
[460, 1]
[1212, 0]
[486, 1]
[1188, 0]
[460, 1]
[1216, 0]
[486, 1]
[352, 0]
[459, 1]
[1216, 0]
[459, 1]
[1216, 0]
[460, 1]
[1216, 0]
[458, 1]
[383, 0]
[460, 1]
[373, 0]
[460, 1]
[378, 0]
[461, 1]
[355, 0]
[480, 1]
[380, 0]
[459, 1]
[377, 0]
[488, 1]
[331, 0]
[480, 1]
[377, 0]
[486, 1]
[355, 0]
[460, 1]
[1212, 0]
[460, 1]
[1216, 0]
[459, 1]
[1215, 0]
[488, 1]
[1188, 0]
[460, 1]
[1215, 0]
[487, 1]
[1189, 0]
[459, 1]
[1217, 0]
[459, 1]
[1219, 0]
[487, 1]
[325, 0]
[482, 1]
[378, 0]
[485, 1]
[351, 0]
[461, 1]
[378, 0]
[486, 1]
[352, 0]
[459, 1]
[378, 0]
[458, 1]
[379, 0]
[460, 1]
[381, 0]
[487, 1]
[1185, 0]
[486, 1]
[1167, 0]
[508, 1]
[1190, 0]
[486, 1]
[1168, 0]
[509, 1]
[1187, 0]
[486, 1]
[1189, 0]
[486, 1]
[1190, 0]
[486, 1]
[1192, 0]
[487, 1]
[1185, 0]
[486, 1]
[1190, 0]
[459, 1]
[1215, 0]
[488, 1]
[1188, 0]
[487, 1]
[1188, 0]
[460, 1]
[1214, 0]
[460, 1]
[1216, 0]
[459, 1]
[1220, 0]
[460, 1]
[375, 0]
[487, 1]
[351, 0]
[486, 1]
[351, 0]
[460, 1]
[357, 0]
[480, 1]
[378, 0]
[488, 1]
[327, 0]
[510, 1]
[350, 0]
[459, 1]
[383, 0]
[460, 1]
[1212, 0]
[460, 1]
[1215, 0]
[460, 1]
[1215, 0]
[485, 1]
[1190, 0]
[487, 1]
[1189, 0]
[458, 1]
[1196, 0]
[507, 1]
[1189, 0]
[486, 1]
[1192, 0]
[488, 1]
[346, 0]
[459, 1]
[380, 0]
[486, 1]
[350, 0]
[460, 1]
[356, 0]
[508, 1]
[330, 0]
[482, 1]
[378, 0]
[459, 1]
[379, 0]
[459, 1]
[382, 0]
[485, 1]
[1188, 0]
[485, 1]
[1188, 0]
[486, 1]
[1167, 0]
[510, 1]
[1167, 0]
[507, 1]
[1189, 0]
[460, 1]
[1215, 0]
[486, 1]
[1189, 0]
[487, 1]
[1193, 0]
[459, 1]
[352, 0]
[483, 1]
[378, 0]
[486, 1]
[352, 0]
[486, 1]
[351, 0]
[484, 1]
[354, 0]
[458, 1]
[379, 0]
[459, 1]
[379, 0]
[459, 1]
[383, 0]
[486, 1]
[1185, 0]
[487, 1]
[1188, 0]
[487, 1]
[1188, 0]
[486, 1]
[1189, 0]
[487, 1]
[1189, 0]
[484, 1]
[1191, 0]
[485, 1]
[1189, 0]
[487, 1]
[1193, 0]
[458, 1]
[376, 0]
[457, 1]
[381, 0]
[485, 1]
[353, 0]
[483, 1]
[354, 0]
[458, 1]
[380, 0]
[485, 1]
[352, 0]
[458, 1]
[380, 0]
[457, 1]
[383, 0]
[485, 1]
added bit data and RC state info to ./aircon-bits/data.json as config_1
